user,name,url,license,stars,status
openmaine,maineballot,https://github.com/OpenMaine/maineballot,MIT License,13,null
wayofdev,next-starter-tpl,https://github.com/wayofdev/next-starter-tpl,MIT License,33,null
health-care221,jetbrains_guide,https://github.com/health-care221/jetbrains_guide,Other,2,null
thailand-geography-data,thailand-geography-json,https://github.com/thailand-geography-data/thailand-geography-json,MIT License,203,null
rustmagazine,rust_magazine_2021,https://github.com/RustMagazine/rust_magazine_2021,MIT License,1090,null
AlfaazPlus,QuranApp,https://github.com/AlfaazPlus/QuranApp,GNU General Public License v3.0,96,null
jerlendds,osintbuddy,https://github.com/jerlendds/osintbuddy,GNU Affero General Public License v3.0,298,null
Breakthrough-Development,smtpts,https://github.com/Breakthrough-Development/smtpts,MIT License,0,null
watergis,mapbox-gl-export,https://github.com/watergis/mapbox-gl-export,MIT License,109,null
umap-project,umap,https://github.com/umap-project/umap,Do What The F*ck You Want To Public License,846,null
facing-dev,vue-facing-decorator,https://github.com/facing-dev/vue-facing-decorator,MIT License,227,null
netsora,SoraBot,https://github.com/netsora/SoraBot,GNU Affero General Public License v3.0,4,null
JuliaPlots,Plots.jl,https://github.com/JuliaPlots/Plots.jl,Other,1726,null
fobgochod,git-commit-message-format,https://github.com/fobgochod/git-commit-message-format,Apache License 2.0,4,null
lehcode,soakp,https://github.com/lehcode/soakp,MIT License,3,null
asciidwango,js-primer,https://github.com/asciidwango/js-primer,Other,2258,null
eruption-project,eruption,https://github.com/eruption-project/eruption,GNU General Public License v3.0,191,null
DiscordBM,DiscordBM,https://github.com/DiscordBM/DiscordBM,Apache License 2.0,31,null
rewardenv,reward,https://github.com/rewardenv/reward,MIT License,61,null
override-sh,aetheria,https://github.com/override-sh/aetheria,GNU General Public License v2.0,1,null
trustless-engineering,sol-panel,https://github.com/trustless-engineering/sol-panel,Apache License 2.0,3,null
Skoice,skoice,https://github.com/Skoice/skoice,GNU General Public License v3.0,47,null
ahKevinXy,ahKevinXy.github.io,https://github.com/ahKevinXy/ahKevinXy.github.io,null,3,null
4awpawz,trio,https://github.com/4awpawz/trio,MIT License,15,null
skiff-org,skiff-apps,https://github.com/skiff-org/skiff-apps,Other,498,null
goatui,components,https://github.com/goatui/components,MIT License,6,null
f-person,git-blame.nvim,https://github.com/f-person/git-blame.nvim,GNU General Public License v3.0,583,null
Kurozora,laravel-cooldown,https://github.com/Kurozora/laravel-cooldown,MIT License,17,null
italia-opensource,awesome-italia-opensource,https://github.com/italia-opensource/awesome-italia-opensource,GNU General Public License v3.0,203,null
actualbudget,actual,https://github.com/actualbudget/actual,MIT License,7095,null
the-storm-mc,monorepo,https://github.com/the-storm-mc/monorepo,GNU General Public License v3.0,0,null
TeamHarTex,HarTex,https://github.com/TeamHarTex/HarTex,GNU Affero General Public License v3.0,21,null
darekf77,ng2-logger,https://github.com/darekf77/ng2-logger,MIT License,59,null
lyralang,.github,https://github.com/lyralang/.github,null,0,null
planetary-social,planetary-ios,https://github.com/planetary-social/planetary-ios,Mozilla Public License 2.0,185,null
hugofara,lwt,https://github.com/HugoFara/lwt,The Unlicense,111,null
guilhermelinosp,api-login-form,https://github.com/guilhermelinosp/api-login-form,MIT License,2,null
malach-it,boruta-server,https://github.com/malach-it/boruta-server,Apache License 2.0,88,null
synt-way,sics,https://github.com/synt-way/sics,null,0,null
exeme-project,exeme-lang,https://github.com/exeme-project/exeme-lang,MIT License,5,null
142359,142359,https://github.com/142359/142359,null,0,null
nvimdev,lspsaga.nvim,https://github.com/nvimdev/lspsaga.nvim,MIT License,2878,null
mjest-js,mjest,https://github.com/mjest-js/mjest,MIT License,0,null
Tresjs,tres,https://github.com/Tresjs/tres,MIT License,442,null
promptfoo,promptfoo,https://github.com/promptfoo/promptfoo,MIT License,293,null
otsoft,myaac,https://github.com/otsoft/myaac,GNU General Public License v3.0,112,null
LiberMall,tnt,https://github.com/LiberMall/tnt,GNU Affero General Public License v3.0,8,null
Operaconga14,desktop,https://github.com/Operaconga14/desktop,MIT License,1,null
firstcontributions,first-contributions,https://github.com/firstcontributions/first-contributions,MIT License,34833,null
nextapps-de,flexsearch,https://github.com/nextapps-de/flexsearch,Apache License 2.0,10319,null
kokonutkrew,kk-discord-bot-minecraft,https://github.com/kokonutkrew/kk-discord-bot-minecraft,null,0,null
FlashpointProject,launcher,https://github.com/FlashpointProject/launcher,Other,751,null